"REF_DATE","GEO","DGUID","Wages","Job permanency","Union coverage","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2108917","1.2.1.1.1.1","27.57","","","","2"
"2019","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2108917","1.2.1.1.1.1","28.32","","","","2"
"2020","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2108917","1.2.1.1.1.1","30.03","","","","2"
"2021","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2108917","1.2.1.1.1.1","30.67","","","","2"
"2022","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2108917","1.2.1.1.1.1","31.96","","","","2"
"2018","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2108972","1.2.1.2.1.1","31.09","","","","2"
"2019","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2108972","1.2.1.2.1.1","31.70","","","","2"
"2020","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2108972","1.2.1.2.1.1","32.88","","","","2"
"2021","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2108972","1.2.1.2.1.1","33.43","","","","2"
"2022","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2108972","1.2.1.2.1.1","34.47","","","","2"
